GeofenceName,Longitude,Latitude,Radius,MeasureType
Ri Happy Praia de Belas Prime Offices,-51.2289,-30.0487,0.2,Km
Ri Happy Raposo Shopping,-46.7584,-23.5828,0.2,Km
Ri Happy Recreio Shopping,-43.4868527,-23.0195165,0.2,Km
Ri Happy Rio Anil Shopping,-44.2232694,-2.5342959,0.2,Km
Ri Happy RioMar Fortaleza,-38.4721,-3.7423,0.2,Km
Ri Happy RioMar Shopping Recife,-34.8946,-8.0863,0.2,Km
Ri Happy Salvador Shopping,-38.4554,-12.9785,0.2,Km
Ri Happy Savassi,-43.9355817,-19.937246,0.2,Km
Ri Happy Shopping Benfica,-38.5401686,-3.7390701,0.2,Km
Ri Happy Shopping Bosque Grão-Pará,-48.4651456,-1.3901236,0.2,Km
Ri Happy Shopping Campo Grande,-54.5828,-20.4619,0.2,Km
Ri Happy Shopping Center Penha,-46.5492,-23.5233,0.2,Km
Ri Happy Shopping Cerrado,-49.3085093,-16.6659862,0.2,Km
Ri Happy Shopping Conjunto Nacional,-47.8829,-15.7904,0.2,Km
Ri Happy Shopping Del Rey,-43.9702,-19.8864,0.2,Km
Ri Happy Shopping Estação BH,-43.9538,-19.8214,0.2,Km
Ri Happy Shopping Estação Cuiabá,-56.1084,-15.5802,0.2,Km
Ri Happy Shopping Grande Rio,-43.3672,-22.7938,0.2,Km
Ri Happy Shopping Guararapes,-34.9178,-8.1692,0.2,Km
Ri Happy Shopping Interlagos,-46.6873,-23.6749,0.2,Km
Ri Happy Shopping Leste Aricanduva,-46.5057,-23.5684,0.2,Km
Ri Happy Shopping Metropolitano Barra,-43.3761,-22.9739,0.2,Km
Ri Happy Shopping Metrô Tatuapé,-46.5765,-23.5401,0.2,Km
Ri Happy Shopping Norte Sul Plaza,-54.6245,-20.4789,0.2,Km
Ri Happy Shopping Nova América,-43.2719,-22.8778,0.2,Km
Ri Happy Shopping Nova Iguaçu,-43.4611,-22.7661,0.2,Km
Ri Happy Shopping Palladium,-49.2907,-25.4782,0.2,Km
Ri Happy Shopping Parangaba,-38.5619555,-3.7757352,0.2,Km
Ri Happy Shopping Parque das Bandeiras,-47.1264,-22.9231,0.2,Km
Ri Happy Shopping Praça da Moça,-46.6221,-23.6877,0.2,Km
Ri Happy Shopping Pátio Higienópolis,-46.6578,-23.5427,0.2,Km
Ri Happy Shopping Pátio Maceió,-35.7458894,-9.5593935,0.2,Km
Ri Happy Shopping Recife,-34.9038,-8.1189,0.2,Km
Ri Happy Shopping Rio Poty,-42.8016318,-5.0771827,0.2,Km
Ri Happy Shopping SP Market,-46.7003,-23.6811,0.2,Km
Ri Happy Shopping União de Osasco,-46.7686,-23.5385,0.2,Km
Ri Happy Shopping Villa Lobos,-46.7221429,-23.5510818,0.2,Km
Ri Happy Shopping da Bahia,-38.4682,-12.9818,0.2,Km
Ri Happy Shopping da Ilha,-44.2562,-2.5284,0.2,Km
Ri Happy São Luis Shopping,-44.2789,-2.5118,0.2,Km
Ri Happy Taguatinga Shopping,-48.0418,-15.8458,0.2,Km
Ri Happy Teresina Shopping,-42.7915,-5.0842,0.2,Km
Ri Happy Tiete Plaza Shopping,-46.7214,-23.5042,0.2,Km
Ri Happy Via Parque Shopping,-43.3642,-22.9835,0.2,Km
Ri Happy Via Sul Shopping,-38.4796181,-3.7939879,0.2,Km
Ri Happy Vila Mariana,-46.6327408,-23.5837,0.2,Km
Ri Happy Villa Romana Shopping,-48.5150004,-27.5899915,0.2,Km
